"Typ", "Opis", "Misja"
"A", "Bezzałogowy lot Saturn V i CSM", "Apollo 4, Apollo 6"
"B", "Bezzałogowy lot Lunar Module", "Apollo 5"
"C", "Załogowy lot i test CSM na niskiej orbicie Ziemi", "Apollo 7"
"D", "Załogowy lot CSM i test LM na niskiej orbicie Ziemi", "oryginalnie Apollo 8; polecał Apollo 9"
"E", "Załogowy lot CSM i LM, symulowana misja księżycowa na eliptycznej orbicie MEO apogeum 3,500 NM (6,500 km)", "brak lotów"
"F", "Załogowy lot CSM i LM na niskiej orbicie księżycowej, próba generalna przed lądowaniem", "Apollo 10"
"G", "Pierwsze lądowanie załogowe na Księżycu", "Apollo 11"
"H", "Precyzyjne lągowanie, dwudniowy pobyt na Księżycu, dwa EVA", "Apollo 12, Apollo 13 (planowany), Apollo 14"
"I", "Długotrwały pobyt CSM badania na orbicie Księżyca, Scientific Instrument Module, zamontowany w pustym Service Module bay", "Scalono z misjami J"
"J", "Dłuższy trzydniowy pobyt używając Extended LM, trzy LEVA, Lunar Roving Vehicle", "Apollo 15, Apollo 16, Apollo 17, Apollo 18 to 20 (planowane jako J). Apollo 15 planowany jako H ale zamieniny na J"
