"Parametr", "NASA", "Roscosmos", "ESA", "JAXA"
"Płeć", "mężczyzna lub kobieta", "mężczyzna lub kobieta", "mężczyzna lub kobieta", "mężczyzna lub kobieta"
"Język", "Angielski", "Rosyjski i Angielski na poziomie licealnym", "Dobra znajomość angielskiego, rosyjski mile widziany", "Dobra znajomość angielskiego, rosyjski mile widziany"
"Obywatelstwo", "USA", "Federacja Rosyjska", "Obywatelstwo państwa należącego do ESA (ESA Member State)", "Japońskie"
"Wzrost [cm]", "157,5 - 190,5 (62-75 cali)", "150-190", "153-190", "b/d"
"Ciśnienie", "140/90", "b/d", "b/d", "b/d"
"Wiek", "27-37", "do 35", "preferowany 27-37", "b/d"
"Doświadczenie zawodowe", "min. 3 lata pracy zawodowej", "", "3 lata", "b/d"
"Minimalne wykształcenie", "licencjat lub inżynier", "wyższe", "magisterskie", "wyższe"
"Specjalizacja naukowa/inżynieryjna", "nauki przyrodnicze, inżynieria lub medycyna", "inżynieria, nauka", "nauki przyrodnicze, inżynieria lub medycyna", "nauki przyrodnicze, inżynieria lub medycyna"
"Specjalizacja lotnicze", "1000h lot dowódczy na stanowisko pilota; Mile widziane (pozostałe)", "preferencja dla osób z doświadczeniem  w przemyśle lotniczym, rakietowym lub kosmicznym na terytorium Federacji Rosyjskiej", "mile widziana licencja PPL(A)", "b/d"
"Wzrok (widzenie bliskie)", "20/20 w każdym oku (dopuszczalna korekcja)", "b/d", "1.0", "b/d"
"Wzrok (widzenie dalekie)", "20/200 w każdym oku (dopuszczalna korekcja)", "b/d", "1.0", "b/d"
