"Selekcja",            "Astronauta",    "Służba", "Pierwszy lot",   "Drugi lot"
       "1",      "Gordon L., Cooper", "Air Force",     "Gemini V",            ""
       "1",  "Virgil 'Gus' Grissom", "Air Force",   "Gemini III",            ""
       "1",     "Walter M. Schirra",      "Navy",  "Gemini VI-A",            ""
       "2",     "Neil A. Armstrong",  "Civilian",  "Gemini VIII",            ""
       "2",          "Frank Borman", "Air Force",   "Gemini VII",            ""
       "2", "Charles 'Pete' Conrad",      "Navy",     "Gemini V",   "Gemini XI"
       "2",       "James A. Lovell",      "Navy",   "Gemini VII",  "Gemini XII"
       "2",     "James A. McDivitt", "Air Force",    "Gemini IV",            ""
       "2",    "Thomas P. Stafford", "Air Force",  "Gemini VI-A", "Gemini IX-A"
       "2",    "Edward H. White II", "Air Force",    "Gemini IV",            ""
       "2",         "John W. Young",      "Navy",   "Gemini III",    "Gemini X"
       "3",   "Edwin 'Buzz' Aldrin", "Air Force",   "Gemini XII",            ""
       "3",      "Eugene A. Cernan",      "Navy",  "Gemini IX-A",            ""
       "3",       "Michael Collins", "Air Force",     "Gemini X",            ""
       "3",     "Richard F. Gordon",      "Navy",    "Gemini XI",            ""
       "3",        "David R. Scott", "Air Force",  "Gemini VIII",            ""
