, , Soyuz A(1963), Soyuz 7K-OK(1967-1971), Soyuz 7K-L3(LOK), Soyuz 7K-T (1973-1981), Soyuz 7K-TM(1975), Soyuz-T (1976-1986), Soyuz-TM (1986-2002), Soyuz-TMA(2003-.... )
Total, Mass (kg), 5 880, 6 560, 9 850, 6 800, 6 680, 6 850, 7 250, 7 220
Total, Length (m), 7.4, 7.95, 10.06, 7.48, 7.48, 7.48, 7.48, 7.48
Total, Max Diameter (m), 2 .50, 2 .72, 2 .930, 2 .72, 2 .72, 2 .72, 2 .72, 2 .72
Total, Span (m), ?, 9 .80, ?, 9 .80/–, 8 .37, 10 .6, 10 .6, 10 .7
Orbital Module (BO), Mass (kg), 1 000, 1 100, n/a, 1 350, 1 224, 1 100, 1 450, 1 370
Orbital Module (BO), Length (m), 3 .00, 3 .45, 2 .26, 2 .98, 3 .10, 2 .98, 2 .98, 2 .98
Orbital Module (BO), Diameter (m), 2 .20, 2 .25, 2 .3, 2 .26, 2 .26, 2 .26, 2 .26, 2 .26
Orbital Module (BO), Volume (m³), 2 .20, 5 .00, n/a, 5 .00, 5 .00, 5 .00, 5 .00, 5 .00
Reentry module (SA), Mass (kg), 2 480, 2 810, 2 804, 2 850, 2 802, 3 000, 2 850, 2 950
Reentry module (SA), Length (m), 2 .30, 2 .24, 2 .19, 2 .24, 2 .24, 2 .24, 2 .24, 2 .24
Reentry module (SA), Diameter (m), 2 .17, 2 .17, 2 .2, 2 .17, 2 .17, 2 .17, 2 .17, 2 .17
Reentry module (SA), Volume (m³), 4 .00, 4 .00, n/a, 3 .50, 4 .00, 4 .00, 3 .50, 3 .50
Service module (PAO), Mass (kg), 2 400, 2 650, n/a, 2 700, 2 654, 2 750, 2 950, 2 900
Service module (PAO), Usable mass (kg), 830, 500, 3152, 500, 500, 700, 880, 880
Service module (PAO), Length (m), 2 .10, 2 .26, 2 .82, 2 .26, 2 .26, 2 .26, 2 .26, 2 .26
Service module (PAO), Diameter (m), 2 .50, 2 .72, 2 .2, 2 .72, 2 .72, 2 .72, 2 .72, 2 .72
