Nazwa                     , Przeznaczenie , Produkcja , Lata użycia    , Program       , Uwagi
SK                        , IVA           , ZSSR      , 1961 - 1963    , Wostok        , pierwszy skafander używany przez Yuri Gagarina
Mark IV                   , IVA           , USA       , 1961 - 1963    , Mercury       ,
Gemini G3C                , IVA           , USA       , 1965 - 1966    , Gemini        ,
Gemini G4C                , IVA i EVA     , USA       , 1965 - 1966    , Gemini        , użyty zarówno do IVA i EVA
Gemini G5C                , IVA           , USA       , 1965 - 1966    , Gemini        , używany przez 14 dni podczas Gemini 7
Sokol                     , IVA           , ZSSR      , 1973 - obecnie , Soyuz         ,
Ejection Escape Suit      , IVA           , USA       , 1981 - 1982    , Space Shuttle , używany przy pierwszych lotach
Launch Entry Suit         , IVA           , USA       , 1988 - 1998    , Space Shuttle ,
Strizh                    , IVA           , ZSSR      , 1988           , Buran         ,
Advanced Crew Escape Suit , IVA           , USA       , 1994 - 2014    , Space Shuttle ,
Shenzhou IVA              , IVA           , Chiny     , 2005           , Shenzhou      , użyty podczas Shenzhou 5
MACES                     , IVA i EVA     , USA       , -              , Orion         , użyty zarówno do IVA i EVA
