"Nabór", "Kosmonauta", "Data urodzenia", "Liczba EVA", "Długość EVA", "Liczba lotów", "Długość lotów", "Status"
"", "Anatoli Demyanenko", "1942", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 1", "Sergei Nikolayevich Anokhin", "1910-03-19", "0", "", "0", "", "Zmarł"
"Air Force Group 2 Supplemental", "Georgi Timofeyevich Beregovoi", "1921-04-15", "0", "", "1", "3d 22h 50m 45s", "Zmarł"
"Voskhod Group", "Vladimir Nikolaevich Benderov", "1924-08-04", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Pavel Ivanovich Belyayev", "1925-06-26", "0", "", "1", "1d 2h 2m 17s", "Zmarł"
"Air Force Group 2", "Lev Stepanovich  Dyomin", "1926-01-11", "0", "", "1", "2d 12m 11s", "Zmarł"
"Voskhod Group", "Konstantin Petrovich  Feoktistov", "1926-02-07", "0", "", "1", "1d 17m 3s", "Zmarł"
"Voskhod Group", "Georgi Petrovich Katys", "1926-08-31", "0", "", "0", "", "Stan spoczynku"
"Journalist Group", "Yuri Aleksandrovich Letunov", "1926-10-26", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Vladimir Mikhailovich Komarov", "1927-03-16", "0", "", "2", "2d 3h 4m 55s", "Zmarł"
"Air Force Group 2", "Aleksandr Nikolayevich Matinchenko", "1927-09-04", "0", "", "0", "", "Zmarł"
"Air Force Group 2", "Vladimir Aleksandrovich  Shatalov", "1927-12-08", "0", "", "3", "9d 21h 57m 30s", "Stan spoczynku"
"Voskhod Group", "Vasily G. Lazarev", "1928-02-23", "0", "", "2", "1d 23h 36m 59s", "Zmarł"
"Air Force Group 2", "Anatoli Vassilyevich  Filipchenko", "1928-02-26", "0", "", "2", "10d 21h 3m 58s", "Stan spoczynku"
"Air Force Group 2", "Georgi Timofeyevich  Dobrovolsky", "1928-06-01", "0", "", "1", "23d 18h 21m 43s", "Zmarł"
"Academy of Sciences Group", "Valentin Gavriyilovich Yershov", "1928-06-21", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Andrian Grigoryevich  Nikolayev", "1929-09-05", "0", "", "2", "21d 15h 20m 55s", "Zmarł"
"Air Force Group 1", "Valentin Ignatyevich Filatyev", "1930-01-21", "0", "", "0", "", "Zmarł"
"Air Force Group 2", "Anatoli Fyodorovich Voronov", "1930-06-11", "0", "", "0", "", "Zmarł"
"Air Force Group 2", "Yuri Petrovich Artyukhin", "1930-06-22", "0", "", "1", "15d 17h 30m 28s", "Zmarł"
"Energia Engineer Group 2", "Valeri Aleksandrovich Yazdovsky", "1930-07-08", "0", "", "0", "", "Zmarł"
"Air Force Group 3", "Boris Nikolayevich Belousov", "1930-07-24", "0", "", "0", "", "Zmarł"
"Air Force Group 2", "Pyotr Ivanovich Kolodin", "1930-09-23", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 1", "Pavel Romanovich  Popovich", "1930-10-05", "0", "", "2", "18d 16h 27m 28s", "Zmarł"
"Air Force Group 2", "Lev Vasilyevich Vorobyov", "1931-02-24", "0", "", "0", "", "Zmarł"
"Air Force Group 2", "Alexy Aleksandrovich  Gubarev", "1931-03-29", "0", "", "2", "37d 11h 35m 45s", "Zmarł"
"Voskhod Group", "Alexei Vasilyevich Sorokin", "1931-03-30", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 1", "Georgi M. Grechko", "1931-05-25", "1", "1h 28m", "3", "134d 20h 32m 58s", "Zmarł"
"Journalist Group", "Mikhail Fedorovich Rebrov", "1931-07-03", "0", "", "0", "", "Zmarł"
"Air Force Group 2", "Anatoli Petrovich Kuklin", "1932-01-03", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 3", "Yuri Anatoyevich Ponomaryov", "1932-03-24", "0", "", "0", "", "Zmarł"
"Air Force Group 3", "Vladimir Aleksandrovich Degtyarov", "1932-04-09", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 4", "Nikolai Stepanovich Porvatkin", "1932-04-15", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Dmitri Alekseyevich Zaikin", "1932-04-29", "0", "", "0", "", "Zmarł"
"Journalist Group", "Yaroslav Krillovich Golovanov", "1932-06-02", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Anatoli Yakovlevich Kartashov", "1932-08-25", "0", "", "0", "", "Zmarł"
"Air Force Group 4", "Mikhail Nikolayevich Burdayev", "1932-08-27", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 1 Supplemental", "Nikolai N. Rukavishnikov", "1932-09-18", "0", "", "3", "9d 21h 10m 35s", "Zmarł"
"IMBP Group 1", "Lev Nikolayevich Smirenny", "1932-10-25", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 1", "Oleg G. Makarov", "1933-01-06", "0", "", "4", "20d 17h 43m 39s", "Zmarł"
"Energia Engineer Group 1", "Vladimir Yevgrafevich Bugrov", "1933-01-18", "0", "", "0", "", "Stan spoczynku"
