"Właściciel", "Nazwa pełna", "Skrót", "Lokacja", "Plan", "Wymiary", "Głębokość", "Okres operacji", "Komentarz"
"NASA", "Neutral Buoyancy Laboratory", "NBL", "Johnson Space Center, Houston, TX, USA", "prostokąt", "62 x 31 m", "12 m", "od 1997", "Certyfikacja EMU"
"NASA", "Neutral Buoyancy Simulator Tank 1", "NBS 1", "Marshall Space Flight Center, Alabama, USA", "koło", "2,4m", "2,4m", "1967 - 1997", ""
"NASA", "Neutral Buoyancy Simulator Tank 2", "NBS 2", "Marshall Space Flight Center, Alabama, USA", "koło", "7,6m", "4,6m", "1967 - 1997", ""
"NASA", "Neutral Buoyancy Simulator Tank 3", "NBS 3", "Marshall Space Flight Center, Alabama, USA", "koło", "23m", "12m", "1967 - 1997", ""
"NASA", "Water Immersion Facility", "WIF", "Building 5, Johnson Space Center, Houston, TX, USA", "koło", "7,6m", "4,9 m", "Używany podczas Apollo i Gemini"
"NASA", "Weightless Environment Training Facility", "WETF", "Building 29, Johnson Space Center, Houston, TX, USA", "prostokąt", "29 x 10 m", "7,6 m", "1980 - 1998", ""
"ESA", "Neutral Buoyancy Facility", "NBF", "European Astronaut Center, Kolonia, Niemcy", "ośmiokąt", "22 x 17 m", "10 m", "od 2007", "EVA pre-familiarization"
"Roscosmos", "Hydro Lab", "Hydro Lab", "Gagarin Cosmonaut Training Center, Zvyozdny gorodok, Moskwa, Rosja", "koło", "23 m", "12 m", "od 1980", "Certyfikacja Orlan"
"CNSA", "Neutral Buoyancy Facility", "ACC", "China Astronaut Research and Training Center, Pekin, Chiny", "koło", "23 m", "10 m", "b/d", "Certyfikacja Feitian"
"JAXA", "Weightlessness Environment Test System", "WETS", "Tsukuba Space Center, Ibaraki, Japan", "koło", "16 m", "10.5 m", "1997-2011", ""
"University of Maryland", "Neutral Buoyancy Research Facility", "NBRF", "University of Maryland, USA", "koło", "15 m", "7,6 m", "od 1992", ""
