"age_at_death","birth_date","died","eva_count","eva_duration","fai_flights_count","fai_flights_duration","flown","name","nationality","non_fai_flight_flight_count","non_fai_flight_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"","1957-04-30","","0","","0","","False","Duane G.  Carey""Digger ""","American","0","","NASA Group 16","0","","Retired"
"","1928-03-25","","3","5h 36m","0","","False","James Arthur Lovell, Jr.""Jim ""","American","0","","NASA Group 2","0","","Retired"
"41.6","1961-07-01","2003-02-01","0","","0","","False","Kalpana   Chawla""KC ""","American","0","","NASA Group 15","0","","Deceased"
"43.6","1947-08-15","1991-04-05","0","","0","","False","Manly Lanier Carter, Jr.""Sonny ""","American","0","","NASA Group 10","0","","Deceased"
"","1946-08-24","","0","","0","","False","Richard Noel Richards""Dick ""","American","0","","NASA Group 9","0","","Retired"
"","1951-06-27","","0","","0","","False","Sidney McNeil Gutierrez""Sid ""","American","0","","NASA Group 10","0","","Retired"
"","1933-05-19","","0","","0","","False","James Alan Abrahamson","American","0","","USAF MOL Group 3","0","","Retired"
"","1967-05-17","","3","19h 46m","0","","False","Joseph M. Acaba","American","0","","NASA Group 19","0","","Active"
"","1936-03-07","","0","","0","","False","Loren Wilbur Acton","American","0","","","0","","Retired"
"","1970-10-04","","0","","0","","False","Nadezhda Ivanyeva Adamchuk","Ukrainian","0","","Ukraine Group","0","","Retired"
"37.5","1930-05-05","1967-11-15","0","","0","","False","Michael James Adams","American","0","","USAF MOL Group 1","6","51m 56s","Deceased"
"","1946-03-03","","0","","0","","False","James Craig Adamson","American","0","","NASA Group 10","0","","Retired"
"","1948-12-31","","7","14h 33m","0","","False","Viktor M. Afanasyev","Russian","0","","Buran Group 2","0","","Retired"
"","1972-07-27","","0","","0","","False","Aydyn Akanovich Aimbetov","Kazakh","0","","Kazakhstan Group","0","","Active"
"","1951-05-20","","4","5h 40m","0","","False","Thomas Dale Akers","American","0","","NASA Group 12","0","","Retired"
"","1942-07-22","","0","","0","","False","Tohiro Akiyama","Japanese","0","","Japanese Commercial Group","0","","Retired"
"","1935-02-01","","0","","0","","False","Vladimir V. Aksyonov","Russian","0","","Energia Engineer Group 4","0","","Retired"
"","1956-06-27","","0","","0","","False","Sultan Salman Abdel-aziz Al-Saud","Saudi","0","","","0","","Inactive"
"","1951-12-01","","0","","0","","False","Aleksandr Panayotov Aleksandrov","Bulgarian","0","","1978 Intercosmos Group","0","","Retired"
"","1943-02-20","","2","5h 44m","0","","False","Aleksandr Pavlovich Aleksandrov","Russian","0","","Energia Engineer Group 5","0","","Retired"
"79.5","1933-08-19","2013-03-01","0","","0","","False","Vladimir Borisovich Alekseyev","Russian","0","","Air Force Group 4","0","","Deceased"
"","1955-08-04","","0","","0","","False","Andrew Michael Allen","American","0","","NASA Group 12","0","","Retired"
"","1937-06-27","","2","12h 11m","0","","False","Joseph Percival Allen","American","0","","NASA Group 6","0","","Retired"
"","","","0","","0","","False","Michael Alsbury","American","0","","SpaceShipTwo","0","","Deceased"
"","1959-08-15","","0","","0","","False","Scott Douglas Altman","American","0","","NASA Group 15","0","","Retired"
"59.7","1954-05-20","2014-02-02","0","","0","","False","Galina Vasilyevna Amelkina","Russian","0","","Female Group 2","0","","Deceased"
"","1959-02-23","","6","14h 28m","0","","False","Clayton Conrad Anderson","American","0","","NASA Group 17","0","","Inactive"
"43.1","1959-12-25","2003-02-01","0","","0","","False","Michael Phillip Anderson","American","0","","NASA Group 15","0","","Deceased"
"","1957-05-13","","0","","0","","False","Claudie   Haignerénee:  Andre-Deshays","French","0","","CNES Group 2","0","","Inactive"
"","1940-10-06","","0","","0","","False","Boris Dmityriyevich Andreyev","Russian","0","","Energia Engineer Group 3","0","","Retired"
"59.3","1947-10-06","2007-01-24","0","","0","","False","Aleksandr Stepanovich Andryushkov","Russian","0","","Journalist Group","0","","Deceased"
"59.5","1933-02-12","1992-08-20","0","","0","","False","Ivan Nikolayevich Anikeyev","South African","0","","Air Force Group 1","0","","Deceased"
"76.1","1910-03-19","1986-04-15","0","","0","","False","Sergei Nikolayevich Anokhin","Russian","0","","Energia Engineer Group 1","0","","Deceased"
"","1966-09-12","","0","","0","","False","Anousheh Ansari","American","0","","","0","","Inactive"
"","1967-08-23","","0","","0","","False","Dominic Anthony Antonelli""Tony""","American","0","","NASA Group 18","0","","Inactive"
"","1949-04-28","","2","10h 49m","0","","False","Jerome J. Apt""Jay""","American","0","","NASA Group 11","0","","Retired"
"","1960-08-25","","0","","0","","False","Lee Joseph Archambault","American","0","","NASA Group 17","0","","Inactive"
"82.1","1930-08-05","2012-08-25","2","2h 37m","0","","False","Neil Alden Armstrong""Buzz""","American","0","","Man In Space Soonest","7","1h 15m 44s","Deceased"
"","1970-12-28","","2","12h 34m","0","","False","Oleg Germanovich Artemyev","Russian","0","","Energia Engineer Group 15","0","","Active"
"","1956-09-09","","6","8h 17m","0","","False","Anatoli Pavlovich Artsebarsky","Russian","0","","Buran Group 2","0","","Retired"
"68.1","1930-06-22","1998-08-04","0","","0","","False","Yuri Petrovich Artyukhin","Russian","0","","Air Force Group 2","0","","Deceased"
"","1946-03-09","","0","","0","","False","Gherman Semyonovich Arzamazov","Russian","0","","IMBP Group 2","0","","Retired"
"","1954-06-16","","0","","0","","False","Jeffrey Shears Ashby","American","0","","NASA Group 15","0","","Retired"
"","1949-05-09","","0","","0","","False","Oleg Yuryevich Atkov","Russian","0","","Cardiologist Group","0","","Retired"
"","1946-07-17","","0","","0","","False","Toktar Ongarbaevich Aubakirov","Kazakh","0","","Kazakhstan Group","0","","Retired"
"","1976-04-09","","0","","0","","False","Serena Maria Auñón-Chancellor","American","0","","NASA Group 20","0","","Active"
"","1977-06-27","","0","","0","","False","Nicole Victoria Mannnee: Aunapu","American","0","","NASA Group 21","0","","Active"
"","1956-01-01","","10","17h 59m","0","","False","Sergei Vasilyevich Avdeyev","Russian","0","","Energia Engineer Group 9","0","","Retired"
"","1967-01-01","","0","","0","","False","Mukhtar Rabatovich Aymakhanov","Kazakh","0","","Kazakhstan Group","0","","Active"
"54.9","1948-10-28","2003-10-02","0","","0","","False","Valeri Vasiliyevich Baberdin","Russian","0","","Journalist Group","0","","Deceased"
"","1959-04-14","","0","","0","","False","Martin Babiak","Slovak","0","","International Group","0","","Inactive"
"","1969-04-21","","0","","0","","False","Andrei Nikolayevich Babkin","Russian","0","","Energia Engineer Group 17","0","","Active"
"69.7","1942-01-23","2011-09-20","0","","0","","False","Ivan Ivanovich Bachurin","Russian","0","","Buran Group 1","0","","Deceased"
"","1952-02-22","","0","","0","","False","James Philip Bagian""Jim""","American","0","","NASA Group 9","0","","Retired"
"","1953-10-27","","0","","0","","False","Michael Allen Baker""Mike""","American","0","","NASA Group 11","0","","Inactive"
"","1953-07-30","","2","10h 47m","0","","False","Aleksandr Nikolayevich Balandin","Russian","0","","Energia Engineer Group 5","0","","Retired"
"","1959-04-16","","2","5h 6m","0","","False","Michael Reed Barratt","American","0","","NASA Group 18","0","","Active"
"","1950-12-26","","0","","0","","False","Barbara McConnell Barrett","American","0","","","0","","Inactive"
"","1953-12-30","","4","1h 49m","0","","False","Daniel Thomas Barry","American","0","","NASA Group 14","0","","Retired"
"","1944-11-17","","0","","0","","False","John David Francis Bartoe","American","0","","","0","","Retired"
"","1943-06-02","","0","","0","","False","Cristiano Batalli-Cosmovici","Italian","0","","Italian Space Agency Group","0","","Retired"
"","1949-06-12","","0","","0","","False","Yuri Michaylovich Baturin","Russian","0","","Air Force Group 12 Supplemental","0","","Retired"
"","1946-03-06","","0","","0","","False","Patrick Pierre Roger Baudry","French","0","","CNES Group 1","0","","Retired"
"","1932-03-15","","4","10h 35m","0","","False","Alan LaVerne Bean""Al""","American","0","","NASA Group 3","0","","Retired"
"","1970-07-28","","6","13h 33m","0","","False","Robert Louis Behnken""Bob""","American","0","","NASA Group 18","0","","Active"
"","1964-05-21","","0","","0","","False","Ivan Bella","Slovak","0","","International Group","0","","Retired"
"64.9","1939-10-26","2004-09-20","0","","0","","False","Vladimir Mikhailovich Beloborodov","Russian","0","","Air Force Group 4","0","","Deceased"
"67.9","1930-07-24","1998-06-27","0","","0","","False","Boris Nikolayevich Belousov","Russian","0","","Air Force Group 3","0","","Deceased"
"44.5","1925-06-26","1970-01-10","0","","0","","False","Pavel Ivanovich Belyayev","Russian","0","","Air Force Group 1","0","","Deceased"
"48.8","1924-08-04","1973-06-03","0","","0","","False","Vladimir Nikolaevich Benderov","Russian","0","","Voskhod Group","0","","Deceased"
"74.2","1921-04-15","1995-06-30","0","","0","","False","Georgi Timofeyevich Beregovoi","Russian","0","","Air Force Group 2 Supplemental","0","","Deceased"
"72.4","1942-04-11","2014-09-20","1","2h 33m","0","","False","Anatoli Nikolayevich Berezovoi","Russian","0","","Air Force Group 5","0","","Deceased"
"","1932-03-24","","0","","0","","False","Lodewijk   van den Berg","American","0","","","0","","Retired"
"","1933-10-17","","0","","0","","False","William  Alison Anders"" Bill""","American","0","","NASA Group 3","0","","Retired"
"","1953","","0","","0","","False","Brian Binnie","American","0","","SpaceShipOne","0","","Active"
"","1942-08-26","","0","","0","","False","John Elmer Blaha","American","0","","NASA Group 9","0","","Retired"
"","1978-08-17","","0","","0","","False","Oleg Vladimirovich Blinov","Russian","0","","Air Force Group 16","0","","Retired"
"","1959-03-16","","0","","0","","False","Michael John Bloomfield","American","0","","NASA Group 15","0","","Retired"
"","1937-12-23","","0","","0","","False","Karol Joseph Bobko""Bo""","American","0","","USAF MOL Group 2","0","","Retired"
"","1964-10-01","","0","","0","","False","Eric Allen Boe","American","0","","NASA Group 18","0","","Active"
"","1945-12-04","","0","","0","","False","Roberta Lynn Bondar","Canadian","0","","CSA Group 1","0","","Resigned"
"24.1","1937-02-16","1961-03-23","0","","0","","False","Valentin Vasilyevich Bondarenko","Russian","0","","Air Force Group 1","0","","Deceased"
"","1957-05-30","","0","","0","","False","Michael Warren Booen","American","0","","MSE Group 2","0","","Retired"
"","1964-04-17","","0","","0","","False","Andrei  Ivanovich Borisenko","Russian","0","","Energia Engineer Group 15","0","","Active"
"","1947-08-04","","0","","0","","False","Alexi Sergeyevich Borodai","Ukrainian","0","","Buran Group 1","0","","Retired"
"","1953-03-03","","0","","0","","False","Aleksandr Viktorovich Borodin","Russian","0","","IMBP Group 2","0","","Retired"
"","1964-02-13","","7","23h 18m","0","","False","Stephen Gerald Bowen","American","0","","NASA Group 18","0","","Active"
"","1956-11-14","","2","13h 17m","0","","False","Kenneth Duane Bowersox""Ken""","American","0","","NASA Group 12","0","","Retired"
"","1931-05-09","","0","","0","","False","Vance DeVoe Brand","American","0","","NASA Group 5","0","","Retired"
"","1943-01-17","","0","","0","","False","Daniel Charles Brandenstein""Dan""","American","0","","NASA Group 8","0","","Retired"
"","1967-09-11","","5","8h","0","","False","Randolph James Bresnik""Randy""","American","0","","NASA Group 19","0","","Active"
"49.7","1919","1968-09-29","0","","0","","False","William Barton Bridgeman""Bill""","American","0","","Man In Space Soonest","0","","Deceased"
"","1960-08-14","","0","","0","","False","Sarah Brightman","British","0","","","0","",""
"46.8","1956-04-16","2003-02-01","0","","0","","False","David McDowell Brown","American","0","","NASA Group 16","0","","Deceased"
"","1951-11-18","","0","","0","","False","Mark Neil Brown","American","0","","NASA Group 10","0","","Retired"
"","1955-05-04","","0","","0","","False","Renate Luise Bruemmer","Swiss","0","","1987 German Group","0","","Retired"
"","1966","","0","","0","","False","Liu   Bu-ming","Chinese","0","","Group 1","0","","Active"
"","1945-06-20","","0","","0","","False","James Frederick Buchli""Jim""","American","0","","NASA Group 8","0","","Retired"
"","1953-04-29","","9","22h 1m","0","","False","Nikolai Mikhailovich Budarin","Russian","0","","Energia Engineer Group 10","0","","Retired"
"","1933-01-18","","0","","0","","False","Vladimir Yevgrafevich Bugrov","Russian","0","","Energia Engineer Group 1","0","","Retired"
"","1936-02-26","","0","","0","","False","Eduard Ivanovich Buinovski","Russian","0","","Air Force Group 2","0","","Retired"
"74.1","1934-09-25","2008-11-08","0","","0","","False","John Sumter Bull","American","0","","NASA Group 5","0","","Deceased"
"","1961-07-27","","1","7h 11m","0","","False","Daniel Christopher Burbank","American","0","","NASA Group 16","0","","Active"
"","1932-08-27","","0","","0","","False","Mikhail Nikolayevich Burdayev","Russian","0","","Air Force Group 4","0","","Retired"
"","1957-07-25","","3","17h 49m","0","","False","Daniel Wheeler Bursch""Dan""","American","0","","NASA Group 13","0","","Retired"
"","1934-08-02","","0","","0","","False","Valeri Fyodorovich Bykovsky","Russian","0","","Air Force Group 1","0","","Retired"
"","1949-01-23","","0","","0","","False","Robert Donald Cabana""Bob""","American","0","","NASA Group 11","0","","Inactive"
"","1959-04-24","","0","","0","","False","Yvonne Darlene Cagle","American","0","","NASA Group 16","0","","Inactive"
"51.3","1958-06-12","2009-10-03","0","","0","","False","Fernando Calderio""Frank""","American","0","","NASA Group 16","0","","Deceased"
"","1969-08-14","","3","22h 49m","0","","False","Tracy  Ellen Caldwell-Dysonnee:  Caldwell","American","0","","NASA Group 17","0","","Active"
"","1952-05-08","","0","","0","","False","Charles Joseph Camarda","American","0","","NASA Group 16","0","","Inactive"
"","1949-11-29","","0","","0","","False","Kenneth Donald Cameron","American","0","","NASA Group 10","0","","Retired"
"","","","0","","0","","False","Trained for the MOL until the program was cancelled.","","0","","","0","",""
